"keywords","reply_en","reply_hi"
"hello,hi,hey,hii,helo,namaste,namaskar,good morning,good evening","👋 Hi! I'm <b>AIRA</b> — your AI assistant from <b>Solvex-AI</b>! 😊<br>I can help you with signup, login, problems, teams, certificates and more. What would you like to know?","👋 Namaste! Main <b>AIRA</b> hun — <b>Solvex-AI</b> ki AI assistant! 😊<br>Main aapki help kar sakti hun: signup, login, problems, team, certificates aur bahut kuch. Kya jaanna chahte ho?"
"what is solvex,solvex kya hai,solvex kya h,about solvex,solvex platform","🤖 <b>Solvex-AI</b> connects industries with students to solve real-world problems. Students build practical experience and earn money, while industries get smart, cost-effective solutions!","🤖 <b>Solvex-AI</b> ek platform hai jahan industry problems ko students solve karte hain. Students real experience aur paise kamate hain, aur industry ko smart solutions milte hain!"
"how platform works,kaise kaam karta hai,workflow","⚙️ <b>How it works:</b><br>Industry posts problem → Faculty approves → Students apply → Team selected → Project development → Final submission.","⚙️ <b>Process:</b><br>Industry problem post karti hai → Faculty approve karti hai → Students apply karte hain → Team select hoti hai → Project complete hota hai."
"student,students,how to join,join kaise","📚 <b>Students</b> can sign up using their Poornima University email. Browse problems, form teams, submit projects, and earn certificates & money!","📚 <b>Students</b> apni Poornima University email se signup kar sakte hain. Problems dekho, team banao, project submit karo aur certificate + paise pao!"
"faculty,teacher,professor","👨‍🏫 <b>Faculty members</b> log in to review and approve industry problems, mentor student teams, and evaluate the final submitted projects.","👨‍🏫 <b>Faculty members</b> login karke industry problems review karte hain, teams ko mentor karte hain aur final projects evaluate karte hain."
"provider,company,industry,business,problem upload,problem kaise dale","🏭 <b>Industry Providers</b> can sign up with a company email and post real-world problems (title, description, category, budget, timeline) for students to solve.","🏭 <b>Industry Providers</b> company email se signup karke real-world problems (title, description, budget, timeline) post kar sakte hain."
"how to signup,signup kaise,signup kaise kare,register,registration,create account","📝 <b>How to Signup:</b><br>1. Go to Signup page<br>2. Enter details (Name, Email, Mobile, Password)<br>3. Choose role (Student, Faculty, Provider)<br>4. Click Sign Up! ✅","📝 <b>Signup kaise kare:</b><br>1. Signup page pe jao<br>2. Details daalo<br>3. Role chuno (Student, Faculty, Provider)<br>4. Sign Up click karo! ✅"
"login,signin,sign in,login kaise,login kaise kare","🔐 <b>How to Login:</b> Go to the Sign In page, enter your email, password, select your role, and click Login. Easy! 😊","🔐 <b>Login kaise kare:</b> Signin page pe jao, email, password aur role choose karo, phir Login click karo. Bilkul easy! 😊"
"admin,admin code,admin kaise bane,admin role","🛡️ <b>Admin Access:</b> Use the secret code <b>SOLVEX@ADMIN2025</b> on the Signup page by selecting the Admin role. Admin manages users, revenue, and overall platform.","🛡️ <b>Admin Access:</b> Signup page pe Admin role select karo aur secret code <b>SOLVEX@ADMIN2025</b> daalo. Admin platform aur revenue manage karta hai."
"password,forgot password,password bhool gaya,reset password,password change","🔑 <b>Forgot Password?</b> Click 'Forgot Password' on the login page. An OTP will be sent to your email. Verify it and set a new password.","🔑 <b>Password bhool gaye?</b> Login page pe 'Forgot Password' click karo. Email pe OTP aayega, OTP verify karke naya password set karo."
"problem,problems,available problems,problem kaise dekhe,apply problem","💡 <b>Finding Problems:</b> After login, go to 'Available Problems'. Browse approved problems, accept one from the dashboard, form your team, and apply!","💡 <b>Problems kaise dekhe:</b> Login ke baad 'Available Problems' mein jao. Approved problems dekho, koi ek accept karo, team banao aur apply karo!"
"problem approval,approve kaise hota hai","✅ <b>Approval:</b> Faculty checks the safety, budget, and feasibility of the problem posted by the industry before approving it for students.","✅ <b>Approval:</b> Industry ki post ki hui problem ko pehle Faculty check karti hai ki wo safe aur feasible hai ya nahi, tabhi approve hoti hai."
